date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:28	44289/44289	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bd7bff0-ad01%22	http://www.joinoffice.kr/img_up/_addon/_plugin/owl.carousel/2.3.4/owl.carousel.min.js	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/_addon/_plugin/owl.carousel/2.3.4/owl.carousel.min.js	(from http://www.joinoffice.kr/)
22:13:28	1152/1152	---MCZ	200	added ('OK')	text/css	etag:W/%22616933cd-480%22	http://www.joinoffice.kr/img_up/_addon/css/notosans.css	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/_addon/css/notosans.css	(from http://www.joinoffice.kr/)
22:13:28	31982/31982	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:26%20GMT	http://www.joinoffice.kr/main	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/main.html	(from http://www.joinoffice.kr/)
22:13:28	3424/3424	---MCZ	200	added ('OK')	application/javascript	etag:W/%226093b4fa-d60%22	https://chk101.ai-log.biz/etc/connect_ai_set.js?ver=2	C:/Users/ys958/Desktop/joinoffice/chk101.ai-log.biz/etc/connect_ai_set77ae.js	(from http://www.joinoffice.kr/)
22:13:29	8270/8270	---M--	200	added ('OK')	image/png	etag:%22645c93a0-204e%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/logo-jo-in1683788703.png	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/logo-jo-in1683788703.png	(from http://www.joinoffice.kr/)
22:13:29	18193/18193	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:27%20GMT	http://www.joinoffice.kr/page/page5	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/page/page5.html	(from http://www.joinoffice.kr/)
22:13:30	18529/18529	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:27%20GMT	http://www.joinoffice.kr/page/page6	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/page/page6.html	(from http://www.joinoffice.kr/)
22:13:30	23244/23244	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:28%20GMT	http://www.joinoffice.kr/page/page4	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/page/page4.html	(from http://www.joinoffice.kr/)
22:13:30	40664/40664	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:28%20GMT	http://www.joinoffice.kr/myboard/ma_gallery	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/myboard/ma_gallery.html	(from http://www.joinoffice.kr/)
22:13:31	26501/26501	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:28%20GMT	http://www.joinoffice.kr/page/page1	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/page/page1.html	(from http://www.joinoffice.kr/)
22:13:31	21724/21724	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:29%20GMT	http://www.joinoffice.kr/page/page2	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/page/page2.html	(from http://www.joinoffice.kr/)
22:13:31	15515/15515	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:29%20GMT	http://www.joinoffice.kr/page/page3	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/page/page3.html	(from http://www.joinoffice.kr/)
22:13:32	42621/42621	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:29%20GMT	http://www.joinoffice.kr/myboard/st_qna	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/myboard/st_qna.html	(from http://www.joinoffice.kr/)
22:13:32	31331/31331	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:29%20GMT	http://www.joinoffice.kr/myboard/faq_board	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/myboard/faq_board.html	(from http://www.joinoffice.kr/)
22:13:33	25663/25663	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:30%20GMT	http://www.joinoffice.kr/login	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/login.html	(from http://www.joinoffice.kr/)
22:13:33	51483/51483	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Aug%202025%2013:13:30%20GMT	http://www.joinoffice.kr/join	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/join.html	(from http://www.joinoffice.kr/)
22:13:48	89620/89620	---M--	200	added ('OK')	image/jpeg	etag:%2264643f54-15e14%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/461684291411.jpg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/461684291411.jpg	(from http://www.joinoffice.kr/)
22:13:49	94898/94898	---M--	200	added ('OK')	image/jpeg	etag:%2264643f4b-172b2%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/21684291402.jpg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/21684291402.jpg	(from http://www.joinoffice.kr/)
22:13:50	99285/99285	---M--	200	added ('OK')	image/jpeg	etag:%2264643f5b-183d5%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/hoe-ui-sil1684291418.jpg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/hoe-ui-sil1684291418.jpg	(from http://www.joinoffice.kr/)
22:13:50	112932/112932	---M--	200	added ('OK')	image/jpeg	etag:%2264643f02-1b924%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/1-in-sil1684291329.jpg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/1-in-sil1684291329.jpg	(from http://www.joinoffice.kr/)
22:13:57	40357/40357	---M--	200	added ('OK')	image/jpeg	etag:%2264644722-9da5%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/seo-bi-seu21684293409.jpg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/seo-bi-seu21684293409.jpg	(from http://www.joinoffice.kr/)
22:13:59	56189/56189	---M--	200	added ('OK')	image/jpeg	etag:%2264644719-db7d%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/seo-bi-seu11684293400.jpg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/seo-bi-seu11684293400.jpg	(from http://www.joinoffice.kr/)
22:14:04	43143/43143	---M--	200	added ('OK')	image/jpeg	etag:%2264644728-a887%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/seo-bi-seu31684293415.jpg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/seo-bi-seu31684293415.jpg	(from http://www.joinoffice.kr/)
22:14:04	793/793	---M--	200	added ('OK')	image/png	etag:%22665d14e9-319%22	http://www.joinoffice.kr/thum_img/joinoffice/option/b0b5f34ffd1be4e2d5b3cbb4230c9519_water__c1_w66_h66.png	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/thum_img/joinoffice/option/b0b5f34ffd1be4e2d5b3cbb4230c9519_water__c1_w66_h66.png	(from http://www.joinoffice.kr/)
22:14:04	1068/1068	---M--	200	added ('OK')	image/png	etag:%22665d14e9-42c%22	http://www.joinoffice.kr/thum_img/joinoffice/option/e0fece046788455cdd9c3aa52c74743b_water__c1_w66_h66.png	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/thum_img/joinoffice/option/e0fece046788455cdd9c3aa52c74743b_water__c1_w66_h66.png	(from http://www.joinoffice.kr/)
22:14:05	103994/103994	---M--	200	added ('OK')	image/jpeg	etag:%2264643f63-1963a%22	http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/qa1684291426.jpg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/joinoffice/build/option/qa1684291426.jpg	(from http://www.joinoffice.kr/)
